gtin,category
5074,fruit_veg
3264393,fruit_veg
10052341,fruit_veg
10074695,fruit_veg
10089002,fruit_veg
2.0003E+11,fruit_veg
666,fruit_veg
10021552,fruit_veg
10052358,fruit_veg
10033883,fruit_veg
10066676,fruit_veg
10054574,fruit_veg
10097595,fruit_veg
3262689,fruit_veg
3262696,fruit_veg
3250822,fruit_veg
3265468,fruit_veg
10062135,fruit_veg
10062159,fruit_veg
10058657,fruit_veg
3227633,fruit_veg
3227688,fruit_veg
10068625,fruit_veg
3271599,fruit_veg
10095874,fruit_veg
10001974,fruit_veg
10075340,fruit_veg
9331,grains
3058121,grains
3063149,grains
3261934,grains
2.8023E+11,grains
2.8687E+11,grains
2.8865E+11,grains
5.05291E+12,grains
5.05427E+12,grains
5.05701E+12,grains
5.05737E+12,grains
2.6085E+11,grains
3262207,grains
2.0921E+11,grains
3242360,grains
2.6193E+11,grains
3048894,grains
2.8857E+11,grains
3220368,grains
3063163,grains
3248638,grains
2.8812E+11,grains
3234617,grains
5.05797E+12,grains
2.8752E+11,grains
3220542,grains
3220573,grains
3051443,grains
3248416,grains
5.05755E+12,grains
2.836E+11,grains
3265642,grains
2.8344E+11,grains
5.05701E+12,grains
3270080,grains
5.05353E+12,grains
3270110,grains
5.05701E+12,grains
3061688,grains
5.05797E+12,grains
5.05427E+12,grains
2.8308E+11,grains
5.05797E+12,grains
2.8544E+11,grains
3262221,grains
2.8615E+11,grains
5.05701E+12,grains
5.05291E+12,grains
2.8582E+11,grains
3263662,grains
5.05395E+12,grains
277,grains
5.05737E+12,grains
9164,grains
3239575,grains
2.8859E+11,grains
5.05797E+12,grains
5.05797E+12,grains
5.05797E+12,grains
5.05291E+12,grains
3220344,grains
3220184,grains
3220375,grains
3254165,grains
3225141,grains
9447,sweets
3049358,sweets
2.6486E+11,sweets
2.8807E+11,sweets
2.838E+11,sweets
2.8016E+11,sweets
5.05427E+12,sweets
2.8722E+11,sweets
5.05018E+12,sweets
2.8241E+11,sweets
3059913,sweets
2.8974E+11,sweets
5.05775E+12,sweets
2.8303E+11,sweets
3223024,sweets
2.6316E+11,sweets
3223048,sweets
3223031,sweets
2.8699E+11,sweets
2.8291E+11,sweets
2.0801E+11,sweets
2.8727E+11,sweets
2.8635E+11,sweets
9522,sweets
3063804,sweets
3202203,sweets
5.05775E+12,sweets
2.8005E+11,sweets
3063811,sweets
2.8109E+11,sweets
5.05755E+12,sweets
2.8259E+11,sweets
2.19416E+12,sweets
5.05755E+12,sweets
2.8166E+11,sweets
3049228,sweets
5.05755E+12,sweets
2.2056E+11,sweets
2.8738E+11,sweets
3057230,sweets
3063835,sweets
9263,sweets
2.8999E+11,sweets
9645,grains
3048801,grains
3059821,grains
3060001,grains
2.8489E+11,grains
3059784,grains
3060018,grains
5.052E+12,grains
2.8558E+11,grains
2.825E+11,grains
2.8425E+11,grains
5.05478E+12,grains
2.8892E+11,grains
2.8003E+11,grains
2.8888E+11,grains
5.05291E+12,grains
5.05755E+12,grains
3011379,fruit_veg
3011386,fruit_veg
50019786,fruit_veg
50019793,fruit_veg
50980482,fruit_veg
50980819,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00039E+12,fruit_veg
5.00039E+12,fruit_veg
5.01284E+12,fruit_veg
5.01284E+12,fruit_veg
5.01284E+12,fruit_veg
5.01284E+12,fruit_veg
5.05232E+12,fruit_veg
5.05291E+12,fruit_veg
5.09892E+12,fruit_veg
5.09892E+12,fruit_veg
50019816,fruit_veg
5.0514E+12,fruit_veg
5.05291E+12,fruit_veg
5.01284E+12,fruit_veg
5.05232E+12,fruit_veg
5.00023E+12,fruit_veg
50019823,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
3011249,fruit_veg
5.01284E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.09892E+12,fruit_veg
5.01284E+12,fruit_veg
5.01284E+12,fruit_veg
5.01284E+12,fruit_veg
5.00023E+12,fruit_veg
3011256,fruit_veg
5.05232E+12,fruit_veg
5.00023E+12,fruit_veg
50759699,fruit_veg
50225859,fruit_veg
50785308,fruit_veg
5.09892E+12,fruit_veg
5.05179E+12,fruit_veg
50019847,fruit_veg
5.00023E+12,fruit_veg
50980529,fruit_veg
5.00023E+12,fruit_veg
50981014,fruit_veg
5.05504E+12,fruit_veg
5.09892E+12,fruit_veg
5.05291E+12,fruit_veg
